Country,Year,Net migration,"International migrant stock, total",International migrant stock (% of population)
Burundi,2022-01-01,,,
Burundi,2021-01-01,-14415.0,,
Burundi,2020-01-01,-10186.0,,
Burundi,2019-01-01,14241.0,,
Burundi,2018-01-01,68145.0,,
Burundi,2017-01-01,-68450.0,,
Burundi,2016-01-01,-109490.0,,
Burundi,2015-01-01,-236447.0,286810.0,2.56563222872762
Burundi,2014-01-01,-6856.0,,
Burundi,2013-01-01,-2295.0,,
Burundi,2012-01-01,22613.0,,
Burundi,2011-01-01,-19517.0,,
Burundi,2010-01-01,11847.0,235259.0,2.48658800012726
Burundi,2009-01-01,184361.0,,
Burundi,2008-01-01,79323.0,,
Burundi,2007-01-01,22120.0,,
Burundi,2006-01-01,15322.0,,
Burundi,2005-01-01,17913.0,172874.0,2.17884243843718
Burundi,2004-01-01,47090.0,,
Burundi,2003-01-01,36721.0,,
Burundi,2002-01-01,-16881.0,,
Burundi,2001-01-01,9965.0,,
Burundi,2000-01-01,-40114.0,125628.0,1.85645994952323
Burundi,1999-01-01,-34507.0,,
Burundi,1998-01-01,13841.0,,
Burundi,1997-01-01,-84365.0,,
Burundi,1996-01-01,-226350.0,,
Burundi,1995-01-01,-84698.0,254853.0,4.08481767197786
Burundi,1994-01-01,516369.0,,
Burundi,1993-01-01,-686089.0,,
Burundi,1992-01-01,35771.0,,
Burundi,1991-01-01,-39298.0,,
Burundi,1990-01-01,-39996.0,333110.0,5.9344669945045
Burundi,1989-01-01,-43635.0,,
Burundi,1988-01-01,-46546.0,,
Burundi,1987-01-01,-21213.0,,
Burundi,1986-01-01,-55836.0,,
Burundi,1985-01-01,-66680.0,343406.0,
Burundi,1984-01-01,-29572.0,,
Burundi,1983-01-01,-41786.0,,
Burundi,1982-01-01,-3837.0,,
Burundi,1981-01-01,-58722.0,,
Burundi,1980-01-01,149360.0,223791.0,
Burundi,1979-01-01,-40170.0,,
Burundi,1978-01-01,8248.0,,
Burundi,1977-01-01,1890.0,,
Burundi,1976-01-01,-12871.0,,
Burundi,1975-01-01,-20706.0,139741.0,
Burundi,1974-01-01,10072.0,,
Burundi,1973-01-01,2839.0,,
Burundi,1972-01-01,-118665.0,,
Burundi,1971-01-01,-7580.0,,
Burundi,1970-01-01,-6348.0,143820.0,
Burundi,1969-01-01,-25319.0,,
Burundi,1968-01-01,-5928.0,,
Burundi,1967-01-01,-9820.0,,
Burundi,1966-01-01,5261.0,,
Burundi,1965-01-01,-13952.0,184633.0,
Burundi,1964-01-01,29635.0,,
Burundi,1963-01-01,-11519.0,,
Burundi,1962-01-01,-15378.0,,
Burundi,1961-01-01,15090.0,,
Burundi,1960-01-01,-14647.0,126323.0,
Djibouti,2022-01-01,,,
Djibouti,2021-01-01,742.0,,
Djibouti,2020-01-01,744.0,,
Djibouti,2019-01-01,1322.0,,
Djibouti,2018-01-01,1435.0,,
Djibouti,2017-01-01,1535.0,,
Djibouti,2016-01-01,1623.0,,
Djibouti,2015-01-01,1723.0,112351.0,12.6541204084874
Djibouti,2014-01-01,1900.0,,
Djibouti,2013-01-01,2033.0,,
Djibouti,2012-01-01,2104.0,,
Djibouti,2011-01-01,2090.0,,
Djibouti,2010-01-01,2129.0,101575.0,12.2261381171446
Djibouti,2009-01-01,2770.0,,
Djibouti,2008-01-01,2148.0,,
Djibouti,2007-01-01,1253.0,,
Djibouti,2006-01-01,2723.0,,
Djibouti,2005-01-01,-3779.0,92091.0,11.8307155905787
Djibouti,2004-01-01,-5247.0,,
Djibouti,2003-01-01,-5634.0,,
Djibouti,2002-01-01,5022.0,,
Djibouti,2001-01-01,7631.0,,
Djibouti,2000-01-01,5627.0,100507.0,13.9098098156283
Djibouti,1999-01-01,7046.0,,
Djibouti,1998-01-01,10355.0,,
Djibouti,1997-01-01,13623.0,,
Djibouti,1996-01-01,2650.0,,
Djibouti,1995-01-01,-3163.0,99774.0,15.0926671063539
Djibouti,1994-01-01,-15756.0,,
Djibouti,1993-01-01,8896.0,,
Djibouti,1992-01-01,-65203.0,,
Djibouti,1991-01-01,21510.0,,
Djibouti,1990-01-01,49970.0,122221.0,20.7733073173385
Djibouti,1989-01-01,33465.0,,
Djibouti,1988-01-01,17242.0,,
Djibouti,1987-01-01,17545.0,,
Djibouti,1986-01-01,14543.0,,
Djibouti,1985-01-01,9997.0,67188.0,
Djibouti,1984-01-01,5452.0,,
Djibouti,1983-01-01,2441.0,,
Djibouti,1982-01-01,2450.0,,
Djibouti,1981-01-01,5502.0,,
Djibouti,1980-01-01,10121.0,80230.0,
Djibouti,1979-01-01,14726.0,,
Djibouti,1978-01-01,17788.0,,
Djibouti,1977-01-01,17961.0,,
Djibouti,1976-01-01,16028.0,,
Djibouti,1975-01-01,13029.0,28941.0,
Djibouti,1974-01-01,9910.0,,
Djibouti,1973-01-01,7583.0,,
Djibouti,1972-01-01,6690.0,,
Djibouti,1971-01-01,6184.0,,
Djibouti,1970-01-01,5004.0,21440.0,
Djibouti,1969-01-01,4995.0,,
Djibouti,1968-01-01,3001.0,,
Djibouti,1967-01-01,3001.0,,
Djibouti,1966-01-01,3014.0,,
Djibouti,1965-01-01,3023.0,15883.0,
Djibouti,1964-01-01,2846.0,,
Djibouti,1963-01-01,2257.0,,
Djibouti,1962-01-01,1695.0,,
Djibouti,1961-01-01,1136.0,,
Djibouti,1960-01-01,886.0,11766.0,
Eritrea,2022-01-01,,,
Eritrea,2021-01-01,-14988.0,,
Eritrea,2020-01-01,-14987.0,,
Eritrea,2019-01-01,-29849.0,,
Eritrea,2018-01-01,-21435.0,,
Eritrea,2017-01-01,-38636.0,,
Eritrea,2016-01-01,-55530.0,,
Eritrea,2015-01-01,-53049.0,15941.0,
Eritrea,2014-01-01,-75830.0,,
Eritrea,2013-01-01,-34025.0,,
Eritrea,2012-01-01,-43335.0,,
Eritrea,2011-01-01,-32992.0,,
